datetime,WS,WD,USTAR,MO_LENGTH,V_SIGMA,DISPLACEMENT_HEIGHT,ROUGHNESS_LENGTH,TOWER_HEIGHT,CANOPY_HEIGHT,zm,PBLH
2022-06-01 00:00:00,4.54493,161.558,0.344096,161.994,1.19142,0.201,0.045,2.9,0.3,2.699,787.0
2022-06-01 00:30:00,4.11444,154.145,0.310522,127.353,0.987168,0.201,0.045,2.9,0.3,2.699,766.5
2022-06-01 01:00:00,4.24569,147.422,0.359195,166.411,0.928018,0.201,0.045,2.9,0.3,2.699,746.0
2022-06-01 01:30:00,4.10438,150.046,0.388156,215.14,1.04347,0.201,0.045,2.9,0.3,2.699,708.5
2022-06-01 02:00:00,4.44736,148.604,0.421447,301.211,1.03925,0.201,0.045,2.9,0.3,2.699,671.0
2022-06-01 02:30:00,4.51627,151.298,0.389082,221.342,1.14755,0.201,0.045,2.9,0.3,2.699,662.5
2022-06-01 03:00:00,3.85536,149.115,0.355212,193.393,1.01114,0.201,0.045,2.9,0.3,2.699,654.0
2022-06-01 03:30:00,3.7672,146.753,0.300135,228.499,0.84094,0.201,0.045,2.9,0.3,2.699,670.5
2022-06-01 04:00:00,3.6862,146.636,0.356599,2054.0,0.850399,0.201,0.045,2.9,0.3,2.699,687.0
2022-06-01 04:30:00,3.5722,146.258,0.269116,-114.415,1.00134,0.201,0.045,2.9,0.3,2.699,668.5
2022-06-01 05:00:00,3.37836,148.562,0.329604,-318.723,0.904973,0.201,0.045,2.9,0.3,2.699,650.0
2022-06-01 05:30:00,3.49414,148.231,0.297063,-55.419,1.03033,0.201,0.045,2.9,0.3,2.699,642.5
2022-06-01 06:00:00,3.03206,155.385,0.298228,-23.966,1.02307,0.201,0.045,2.9,0.3,2.699,635.0
2022-06-01 06:30:00,3.31966,151.632,0.317698,-33.1567,1.17168,0.201,0.045,2.9,0.3,2.699,661.0
2022-06-01 07:00:00,3.5096,145.326,0.324165,-27.4866,1.16617,0.201,0.045,2.9,0.3,2.699,687.0
2022-06-01 07:30:00,3.84712,144.376,0.351373,-31.0765,1.14692,0.201,0.045,2.9,0.3,2.699,763.0
2022-06-01 08:00:00,3.803,147.784,0.356183,-31.139,1.13785,0.201,0.045,2.9,0.3,2.699,839.0
2022-06-01 08:30:00,3.56418,154.985,0.360707,-26.2804,1.43469,0.201,0.045,2.9,0.3,2.699,876.5
2022-06-01 09:00:00,3.42573,162.64,0.283424,-12.9044,1.24663,0.201,0.045,2.9,0.3,2.699,914.0
2022-06-01 09:30:00,2.62614,117.983,0.269889,-12.3661,1.06063,0.201,0.045,2.9,0.3,2.699,832.5
2022-06-01 10:00:00,2.82792,124.399,0.283341,-14.0463,1.0613,0.201,0.045,2.9,0.3,2.699,751.0
2022-06-01 10:30:00,3.04861,122.085,0.276156,-13.8172,0.869973,0.201,0.045,2.9,0.3,2.699,781.5
2022-06-01 11:00:00,3.13297,109.42,0.308369,-20.0075,0.988666,0.201,0.045,2.9,0.3,2.699,812.0
2022-06-01 11:30:00,3.50508,98.5523,0.337188,-24.7885,1.10639,0.201,0.045,2.9,0.3,2.699,866.0
2022-06-01 12:00:00,3.6585,86.2643,0.349409,-34.6292,1.16461,0.201,0.045,2.9,0.3,2.699,920.0
2022-06-01 12:30:00,3.17231,91.384,0.271987,-929.559,1.11728,0.201,0.045,2.9,0.3,2.699,934.5
2022-06-01 13:00:00,3.39683,86.4716,0.348523,-42.0408,1.17995,0.201,0.045,2.9,0.3,2.699,949.0
2022-06-01 13:30:00,3.90027,79.659,0.36315,-327.944,1.06571,0.201,0.045,2.9,0.3,2.699,893.5
2022-06-01 14:00:00,4.389,80.3329,0.398702,-95.6173,1.12166,0.201,0.045,2.9,0.3,2.699,838.0
2022-06-01 14:30:00,4.01758,85.3896,0.35523,855.147,1.2419,0.201,0.045,2.9,0.3,2.699,750.0
2022-06-01 15:00:00,4.37606,85.9118,0.422468,-294.396,1.3274,0.201,0.045,2.9,0.3,2.699,662.0
2022-06-01 15:30:00,3.30322,85.7306,0.352692,-92.1821,1.1333,0.201,0.045,2.9,0.3,2.699,561.0
2022-06-01 16:00:00,3.74333,77.0953,0.317276,322.516,0.830676,0.201,0.045,2.9,0.3,2.699,460.0
2022-06-01 16:30:00,3.73939,76.7934,0.294012,89.8212,0.941608,0.201,0.045,2.9,0.3,2.699,417.0
2022-06-01 17:00:00,3.8722,82.8873,0.35623,361.548,1.09623,0.201,0.045,2.9,0.3,2.699,374.0
2022-06-01 17:30:00,4.09367,78.4306,0.352342,133.659,1.074,0.201,0.045,2.9,0.3,2.699,348.0
2022-06-01 18:00:00,3.34257,78.9312,0.317928,74.785,0.766061,0.201,0.045,2.9,0.3,2.699,322.0
2022-06-01 18:30:00,3.1144,78.4108,0.269803,58.1937,0.727779,0.201,0.045,2.9,0.3,2.699,295.0
2022-06-01 19:00:00,2.7478,80.1749,0.241406,38.9331,0.739619,0.201,0.045,2.9,0.3,2.699,268.0
2022-06-01 19:30:00,2.22096,74.8769,0.203678,25.3653,0.522981,0.201,0.045,2.9,0.3,2.699,257.0
2022-06-01 20:00:00,1.74934,65.984,0.12762,10.3323,0.41688,0.201,0.045,2.9,0.3,2.699,246.0
2022-06-01 20:30:00,2.30475,61.3477,0.224518,24.2027,0.619057,0.201,0.045,2.9,0.3,2.699,236.0
2022-06-01 21:00:00,2.33555,52.7679,0.247936,33.6086,0.551488,0.201,0.045,2.9,0.3,2.699,226.0
2022-06-01 21:30:00,2.6509,56.5166,0.262638,38.9969,0.650664,0.201,0.045,2.9,0.3,2.699,272.0
2022-06-01 22:00:00,2.38278,50.438,0.243135,34.987,0.644298,0.201,0.045,2.9,0.3,2.699,318.0
2022-06-01 22:30:00,2.77014,50.9893,0.268472,38.0671,0.71512,0.201,0.045,2.9,0.3,2.699,335.0
2022-06-01 23:00:00,2.90232,53.8693,0.268049,42.4499,0.648701,0.201,0.045,2.9,0.3,2.699,352.0
2022-06-01 23:30:00,2.60218,77.4332,0.249916,39.5648,1.01567,0.201,0.045,2.9,0.3,2.699,409.5
2022-06-02 00:00:00,3.51373,62.4019,0.316999,58.1572,1.0865,0.201,0.045,2.9,0.3,2.699,467.0
2022-06-02 00:30:00,3.14241,43.9398,0.347103,81.3294,0.756287,0.201,0.045,2.9,0.3,2.699,495.0
